HE1118,"""RELIGIOUS"" OR ""SECULAR""? CHRISTIAN ETHICS IN PLURALIST SOCIETIES"
EN4474,"""THE NAUGHTY NINETIES"": FIN DE SIECLE FICTIONS, 1890-1900"
OR1007,"""YOUR STUDENTS' UNION"" - OPTIONAL LUNCHTIME TALK"
BCME01,'ENERGY IN THE 21ST CENTURY (POWERING THE ANTHROPOCENE) '
EN4436,'EVERYTHING IS IN THE WAY THE MATERIAL IS COMPOSED': IRISH HISTORICAL FICTION
EN4445,'IN SO MANY SELVES'- THE REPRESENTATION OF SELF IN US POETRY
BCRE18,'RELIGIOUS' OR 'SECULAR'? CHRISTIAN ETHICS IN PLURALIST DEMOCRACIES
HE235B,(A)  CHRISTOLOGY
HE2315,(A)  CHRISTOLOGY: JESUS IN THE FIRST CENTURY AT TURNING POINTS OF CHRISTIAN THIN
HE2325,(A)  PAUL AND THE DEVELOPMENT OF EARLY CHRISTIANITY
HE232C,(A)  PAUL AND THE DEVELOPMENT OF EARLY CHRISTIANITY
HE2327,(A)  PHILOSOPHICAL AND THEOLOGICAL APPROACHES TO GOD
HE237C,(A)  PHILOSOPHICAL AND THEOLOGICAL APPROACHES TO GOD
HE2313,(A) THE HISTORICAL JESUS AND THE GOSPELS
HE2318,(B)  APPROACHES TO THEOLOGICAL ETHICS
HE238C,(B)  APPROACHES TO THEOLOGICAL ETHICS
HE2332,(B)  CONTEMPORARY ETHICAL ISSUES
HE233D,(B)  CONTEMPORARY ETHICAL ISSUES
HE2316,(B)  HERMENEUTICS AND THEOLOGY
HE236C,(B)  HERMENEUTICS AND THEOLOGY
HE2326,(B)  PAULINE LETTERS IN CONTEXT
HE2328,(B)  THEOLOGICAL COSMOLOGY AND ANTHROPOLOGY
HE238D,(B)  THEOLOGICAL COSMOLOGY AND ANTHROPOLOGY
HE2314,(B) THE END OF THE WORLD: THE JOHANNINE WRITINGS
PT3D05,(VS) CHRONIC DISEASE MANAGEMENT AND REHABILITATION
PT3L05,(VS) PAEDIATRICS AND LEARNING DISABILITY
PT3M05,(VS) PROFESSIONAL ISSUES II
PT3R15,(VS) REHABILITATION IN BONE AND JOINT DISEASE
EN4345,19TH CENTURY IRISH WRITING
MA1E01,1E1 ENGINEERING MATHEMATICS I
ME1E10,1E10 ENGINEERING DESIGN II
MEU11E10,1E10 ENGINEERING DESIGN II
ME1E11,1E11 EXPERIMENTAL METHODS
MEU11E11,1E11 EXPERIMENTAL METHODS
MA1E02,1E2 ENGINEERING MATHEMATICS II
CS1E03,1E3 COMPUTER ENGINEERING I
PY1E04,1E4 PHYSICS
PYU11E04,1E4 PHYSICS
CH1E05,1E5 CHEMISTRY
EE1E06,1E6 ELECTRICAL ENGINEERING
EEU11E06,1E6 ELECTRICAL ENGINEERING
ME1E07,1E7 MECHANICS
MEU11E07,1E7 MECHANICS
ME1E08,1E8 INTRODUCTION TO PROFESSIONAL ENGINEERING
MEU11E08,1E8 INTRODUCTION TO PROFESSIONAL ENGINEERING
CE1E09,1E9 ENGINEERING DESIGN I: GRAPHICS AND CAE
CEU11E09,1E9 ENGINEERING DESIGN I: GRAPHICS AND CAE
ME1M01,1MEMS1 INTRODUCTION TO MANUFACTURING
MEU11EM1,1MEMS1 INTRODUCTION TO MANUFACTURING
ME1M04,1MEMS4 INTRODUCTION TO COMPUTING
MEU11EM4,1MEMS4 INTRODUCTION TO COMPUTING
EN4455,20TH CENTURY IRISH POETRY AFTER YEATS
RUS451,20TH CENTURY LYRIC POETRY
FS7035,21ST CENTURY TELEVISION
FS4041,21ST CENTURY TV
FSS032,21ST CENTURY TV
EE2E10,2E10 ENGINEERING DESIGN IV: PROJECT
EEU22E10,2E10 ENGINEERING DESIGN IV: PROJECT
EE2E11,2E11 COMPUTATIONAL ENGINEERING
EEU22E11,2E11 COMPUTATIONAL ENGINEERING
ME2E11,2E11 NUMERICAL METHODS COMPUTATIONAL ENGINEERING
CS2E03,2E3 COMPUTER ENGINEERING II
CE2E04,2E4 SOLIDS AND STRUCTURES
CEU22E04,2E4 SOLIDS AND STRUCTURES
ME2E05,2E5 THERMO-FLUIDS
MEU22E05,2E5 THERMO-FLUIDS
EE2E06,2E6 ELECTRONICS
EEU22E06,2E6 ELECTRONICS
CE2E07,2E7 ENGINEERING AND THE ENVIRONMENT
CEU22E07,2E7 ENGINEERING AND THE ENVIRONMENT
MEU22E08,2E8 MATERIALS
CE2E09,2E9 ENGINEERING DESIGN III: PROJECT
CEU22E09,2E9 ENGINEERING DESIGN III: PROJECT
ME2M10,2MEMS10 MANUFACTURING ENGINEERING DESIGN
MEU22M10,2MEMS10 MANUFACTURING ENGINEERING DESIGN
ME2M02,2MEMS2 FINANCE
MEU22EM2,2MEMS2 FINANCE
ME2M03,2MEMS3 DESIGN I
MEU22EM3,2MEMS3 DESIGN I
ME2M04,2MEMS4 MATERIALS
CE3A1,3A1 ENGINEERING SURVEYING
CEU33A01,3A1 ENGINEERING SURVEYING
CE3A2,3A2 STRUCTURAL DESIGN
CEU33A02,3A2 STRUCTURAL DESIGN
CE3A3,3A3 HYDRAULICS
CEU33A03,3A3 HYDRAULICS
CE3A4,3A4 STRUCTURAL ANALYSIS
CEU33A04,3A4 STRUCTURAL ANALYSIS
CE3A5,3A5 SOIL MECHANICS
CEU33A05,3A5 SOIL MECHANICS
CE3A7,3A7 TRANSPORTATION AND HIGHWAY ENGINEERING
CEU33A07,3A7 TRANSPORTATION AND HIGHWAY ENGINEERING
CE3A8,3A8 GEOLOGY FOR ENGINEERS
CEU33A08,3A8 GEOLOGY FOR ENGINEERS
CE3A9,3A9 GROUP DESIGN PROJECT
CEU33A09,3A9 GROUP DESIGN PROJECT
ME3B1,3B1 THERMODYNAMICS
MEU33B01,3B1 THERMODYNAMICS
MEU33B02,3B2 FLUID MECHANICS
ME3B2,3B2 FLUID MECHANICS 1
ME3B3,3B3 MECHANICS OF SOLIDS
MEU33B03,3B3 MECHANICS OF SOLIDS
ME3B4,3B4 MECHANICAL ENGINEERING MATERIALS
MEU33B04,3B4 MECHANICAL ENGINEERING MATERIALS
ME3B5,3B5 MECHANICS OF MACHINES
MEU33B05,3B5 MECHANICS OF MACHINES
ME3B7,3B7 MANUFACTURING TECHNOLOGY AND SYSTEMS
MEU33B07,3B7 MANUFACTURING TECHNOLOGY AND SYSTEMS
ME3B8,3B8 UNIVERSAL DESIGN INNOVATION
MEU33B08,3B8 UNIVERSAL DESIGN INNOVATION
EE3BIO1,3BIO1 ANATOMY & PHYSIOLOGY
EEU33BM1,3BIO1 ANATOMY AND PHYSIOLOGY
ME3BIO2,3BIO2 BIOMEDICAL DESIGN PROJECT
MEU33BM2,3BIO2 BIOMEDICAL DESIGN PROJECT
ME3BIO3,3BIO3 PROBABILITY AND STATISTICS
EE3BIO3,3BIO3 QUANTITATIVE PHYSIOLOGY
EE3C01,3C1 SIGNALS AND SYSTEMS
EEU33C01,3C1 SIGNALS AND SYSTEMS
EE3C02,3C2 DIGITAL CIRCUITS
EEU33C02,3C2 DIGITAL CIRCUITS
EE3C03,3C3 ANALOGUE CIRCUITS
EEU33C03,3C3 ANALOGUE CIRCUITS
EE3C05,3C5 TELECOMMUNICATIONS
EEU33C05,3C5 TELECOMMUNICATIONS
EE3C6A,3C6A ELECTRONIC ENGINEERING PROJECTS
EE3C6B,3C6B ELECTRONIC ENGINEERING PROJECTS
EE3C07,3C7 DIGITAL SYSTEMS DESIGN
EEU33C07,3C7 DIGITAL SYSTEMS DESIGN
EE3C08,3C8 DIGITAL CIRCUITS DESIGN
EEU33C08,3C8 DIGITAL CIRCUITS DESIGN
EE3C09,3C9 ANALOGUE CIRCUITS DESIGN
EEU33C09,3C9 ANALOGUE CIRCUITS DESIGN
CS3D1,3D1(372) MICROPROCESSOR SYSTEMS 1
CS3D2,3D2 MICROPROCESSOR SYSTEMS 2
CS3D3,3D3 COMPUTER NETWORKS
CS3D4,3D4 OPERATING SYSTEMS AND CONCURRENT SYSTEMS
CS3D5A,3D5A DATA STRUCTURES AND ALGORITHMS
CS3D5B,3D5B SOFTWARE DESIGN AND IMPLEMENTATION
MA3E1,3E1 ENGINEERING MATHEMATICS V
ME3E2,3E2 NUMERICAL METHODS
EE3E3,3E3 PROBABILITY AND STATISTICS
EEU33E03,3E3 PROBABILITY AND STATISTICS
CE3E4,3E4 INNOVATION AND ENTREPRENEURSHIP FOR ENGINEERS
CEU33E04,3E4 INNOVATION AND ENTREPRENEURSHIP FOR ENGINEERS
ME3MM1,3MEMS1 MANUFACTURING TECHNOLOGY II
MEU33EM1,3MEMS1 MANUFACTURING TECHNOLOGY II
ME3MM3,3MEMS3 DESIGN II
MEU33EM3,3MEMS3 DESIGN II
ME3MM5,3MEMS5 OPERATIONS AND PROJECT MANAGEMENT
MEU33EM5,3MEMS5 OPERATIONS AND PROJECT MANAGEMENT
CE4A1,4A1 CIVIL ENGINEERING MATERIALS
CEU44A01,4A1 CIVIL ENGINEERING MATERIALS
CE4A2,4A2 HYDROGEOLOGY AND ENGINEERING GEOLOGY
CEU44A02,4A2 HYDROGEOLOGY AND ENGINEERING GEOLOGY
CEU44A31,4A3(1) ENVIRONENTAL ENGINEERING 1
CE4A31,4A3(1) ENVIRONMENTAL ENGINEERING (1)
CE4A32,4A3(2) ENVIRONMENTAL ENGINEERING (2)
CE4A4,4A4 HYDRAULICS
CEU44A04,4A4 HYDRAULICS
CE4A51,4A5(1) GEOTECHNICAL ENGINEERING (1)
CEU44A51,4A5(1) GEOTECHNICAL ENGINEERING 1
CE4A61,4A6(1) STRUCTURES 1
CEU44A61,4A6(1) STRUCTURES 1
CE4A62,4A6(2) STRUCTURES 2 [ADVANCED DESIGN OF STRUCTS]
CEU44A62,4A6(2) STRUCTURES 2 [ADVANCED DESIGN OF STRUCTS]
CE4A8,4A8 TRANSPORTATION
CEU44A08,4A8 TRANSPORTATION
ME4B01,4B01 MECHANICS OF SOLIDS
ME4B02,4B02 FORENSIC MATERIALS ENGINEERING
ME4B03,4B03 THERMODYNAMICS
ME4B04,4B04 HEAT TRANSFER
ME4B05,4B05 MANUFACTURING TECHNOLOGY
ME4B06,4B06 MANUFACTURING SYSTEMS AND PROJECT MANAGEMENT
ME4B07,4B07 COMPUTER AIDED ENGINEERING
MEU44B01,4B1 MECHANICS OF SOLIDS
ME4B12,4B12 ACOUSTICS
MEU44B13,4B13 FLUID MECHANICS 2
ME4B13,4B13 FLUID MECHANICS 2A
ME4B17,4B17 MULTIBODY DYNAMICS
MEU44B17,4B17 MULTIBODY DYNAMICS
ME4B19,4B19 BIOMECHANICS
MEU44B02,4B2 FORENSIC MATERIALS ENGINEERING
ME4B20,4B20 BIOMATERIALS
ME4B21,4B21 THERMAL ENGINEERING AND TECHNOLOGY
MEU44B21,4B21 THERMAL ENGINEERING AND TECHNOLOGY
MEU44B03,4B3 THERMODYNAMICS
MEU44B04,4B4 HEAT TRANSFER
MEU44B05,4B5 MANUFACTURING TECHNOLOGY
MEU44B06,4B6 MANUFACTURING SYSTEMS AND PROJECT MANAGEMENT
MEU44B07,4B7 COMPUTER AIDED DESIGN
MEU44B09,4B9 CONTROL ENGINEERING I
ME4BIO1,4BIO1 CELL & MOLECULAR BIOLOGY
MEU44BM1,4BIO1 CELL AND MOLECULAR BIOLOGY
ME4BIO2,4BIO2 TELEMEDICINE
EE4BIO3,4BIO3 PHYSICAL AND PHYSIOLOGICAL MEASUREMENTS
ME4BIO4,4BIO4 EXPERIMENTAL AND RESEARCH METHODS IN BIOMEDICAL ENGINEERING
MEU44BM4,4BIO4 EXPERIMENTAL AND RESEARCH METHODS IN BIOMEDICAL ENGINEERING
ME4BIO5,4BIO5 BIOMECHANICS
